"year","state","fleet","sector","landings_mt"
1972,NA,"hake","at-sea",421
1972,"California","bottom trawl",NA,411.9
1972,"California","hake","shoreside",0
1972,"California","hook and line",NA,17.8
1972,"California","midwater trawl",NA,0
1972,"California","net",NA,0
1972,"Oregon","bottom trawl",NA,51.8
1972,"Oregon","hake","shoreside",0
1972,"Oregon","hook and line",NA,2.3
1972,"Oregon","midwater trawl",NA,0
1972,"Oregon","net",NA,0
1972,"Washington","bottom trawl",NA,14.1
1972,"Washington","hake","shoreside",0
1972,"Washington","hook and line",NA,0
1972,"Washington","midwater trawl",NA,0
1972,"Washington","net",NA,0
1973,NA,"hake","at-sea",656
1973,"California","bottom trawl",NA,428.1
1973,"California","hake","shoreside",0
1973,"California","hook and line",NA,15.8
1973,"California","midwater trawl",NA,0
1973,"California","net",NA,0
1973,"Oregon","bottom trawl",NA,20.9
1973,"Oregon","hake","shoreside",0
1973,"Oregon","hook and line",NA,2.5
1973,"Oregon","midwater trawl",NA,0
1973,"Oregon","net",NA,0
1973,"Washington","bottom trawl",NA,32.4
1973,"Washington","hake","shoreside",0
1973,"Washington","hook and line",NA,0
1973,"Washington","midwater trawl",NA,0
1973,"Washington","net",NA,0
1974,NA,"hake","at-sea",418
1974,"California","bottom trawl",NA,426.4
1974,"California","hake","shoreside",0
1974,"California","hook and line",NA,41.3
1974,"California","midwater trawl",NA,0
1974,"California","net",NA,0
1974,"Oregon","bottom trawl",NA,7.3
1974,"Oregon","hake","shoreside",0
1974,"Oregon","hook and line",NA,3.1
1974,"Oregon","midwater trawl",NA,0
1974,"Oregon","net",NA,0
1974,"Washington","bottom trawl",NA,6.5
1974,"Washington","hake","shoreside",0
1974,"Washington","hook and line",NA,0
1974,"Washington","midwater trawl",NA,0
1974,"Washington","net",NA,0
1975,NA,"hake","at-sea",391.2
1975,"California","bottom trawl",NA,429.9
1975,"California","hake","shoreside",0
1975,"California","hook and line",NA,28.4
1975,"California","midwater trawl",NA,0
